milestone,cohort,label,level,count,example
CHAPTER_ONE,DEFAULT,Servant Leadership,1,1,"Demonstrates an understanding of an individual's roles, goals, and interests"
CHAPTER_ONE,DEFAULT,Servant Leadership,1,2,Demonstrates concern for the well-being of colleagues
CHAPTER_ONE,DEFAULT,Servant Leadership,1,3,Actively listens
CHAPTER_ONE,DEFAULT,Servant Leadership,1,4,Treats others with respect
CHAPTER_ONE,DEFAULT,Servant Leadership,1,5,
CHAPTER_ONE,DEFAULT,Servant Leadership,1,6,
CHAPTER_ONE,DEFAULT,Servant Leadership,2,1,"Uses an understanding of the organization's processes, systems and policies to engage with people"
CHAPTER_ONE,DEFAULT,Servant Leadership,2,2,"Assumes positive intent of others, approaching every interaction with kindness and good humor"
CHAPTER_ONE,DEFAULT,Servant Leadership,2,3,Empathetically listens
CHAPTER_ONE,DEFAULT,Servant Leadership,2,4,"Communicates difficult or negative messages in an honest, accurate, and respectful manner"
CHAPTER_ONE,DEFAULT,Servant Leadership,2,5,
CHAPTER_ONE,DEFAULT,Servant Leadership,2,6,
CHAPTER_ONE,DEFAULT,Servant Leadership,3,1,Helps people develop and perform as highly as possible
CHAPTER_ONE,DEFAULT,Servant Leadership,3,2,Uses awareness and understanding of the organization's culture to implement change initiatives
CHAPTER_ONE,DEFAULT,Servant Leadership,3,3,Is able to deeply understand and empathize with others
CHAPTER_ONE,DEFAULT,Servant Leadership,3,4,Delivers persuasive and compelling messages
CHAPTER_ONE,DEFAULT,Servant Leadership,3,5,
CHAPTER_ONE,DEFAULT,Servant Leadership,3,6,
CHAPTER_ONE,DEFAULT,Servant Leadership,4,1,"Always looks to enhance the development of their team members in ways that unlock potential, creativity, and sense of purpose"
CHAPTER_ONE,DEFAULT,Servant Leadership,4,2,"Uses an understanding of the organization's culture and environment to develop and implement strategic plans, implement necessary changes, and resolve talent needs and issues"
CHAPTER_ONE,DEFAULT,Servant Leadership,4,3,Is able to engage with others to seek input and advice when making a decision. Makes sure all impacted have the necessary information.
CHAPTER_ONE,DEFAULT,Servant Leadership,4,4,"Provides visible leadership that ""walks the talk."" Sets high performance standards for self, acting as a role model for the team"
CHAPTER_ONE,DEFAULT,Servant Leadership,4,5,
CHAPTER_ONE,DEFAULT,Servant Leadership,4,6,
CHAPTER_ONE,DEFAULT,Servant Leadership,5,1,"Focus on bringing their best self to your work, and making space for others to do so as well"
CHAPTER_ONE,DEFAULT,Servant Leadership,5,2,"Uses an understanding of complex relationships among organizational leaders to facilitate the strategy, implementation, and maintenance of initiatives proposed by other leaders"
CHAPTER_ONE,DEFAULT,Servant Leadership,5,3,Uses storytelling to create a positive and engaging environment for teams and clients
CHAPTER_ONE,DEFAULT,Servant Leadership,5,4,Leverages relationships to best support and develop individuals
CHAPTER_ONE,DEFAULT,Servant Leadership,5,5,
CHAPTER_ONE,DEFAULT,Servant Leadership,5,6,
CHAPTER_TWO,DEFAULT,Coaching,1,1,Helps individuals think for themselves about possible impacts and solutions to a problem by asking open-ended questions
CHAPTER_TWO,DEFAULT,Coaching,1,2,Demonstrates a positive outlook
CHAPTER_TWO,DEFAULT,Coaching,1,3,
CHAPTER_TWO,DEFAULT,Coaching,1,4,
CHAPTER_TWO,DEFAULT,Coaching,1,5,
CHAPTER_TWO,DEFAULT,Coaching,1,6,
CHAPTER_TWO,DEFAULT,Coaching,2,1,Shows confidence in others' abilities and a willingness to face challenges and solve problems
CHAPTER_TWO,DEFAULT,Coaching,2,2,Helps people gain awareness of current situations
CHAPTER_TWO,DEFAULT,Coaching,2,3,Demonstrates curiosity
CHAPTER_TWO,DEFAULT,Coaching,2,4,
CHAPTER_TWO,DEFAULT,Coaching,2,5,
CHAPTER_TWO,DEFAULT,Coaching,2,6,
CHAPTER_TWO,DEFAULT,Coaching,3,1,Understands what issues exist that may limit an individual's ability to perform the task or accomplish the objectives
CHAPTER_TWO,DEFAULT,Coaching,3,2,Determines whether colleagues need help to remove barriers or can overcome these obstacles unaided
CHAPTER_TWO,DEFAULT,Coaching,3,3,
CHAPTER_TWO,DEFAULT,Coaching,3,4,
CHAPTER_TWO,DEFAULT,Coaching,3,5,
CHAPTER_TWO,DEFAULT,Coaching,3,6,
CHAPTER_TWO,DEFAULT,Coaching,4,1,Partners with others to help define actions based on one's abilities and knowledge
CHAPTER_TWO,DEFAULT,Coaching,4,2,"Supports people's progress, celebrates their wins, and encourages them to find new paths if their original plan of action does not work out as expected"
CHAPTER_TWO,DEFAULT,Coaching,4,3,Encourages creative thinking in colleagues who are tyring to address challenges or improve their performance
CHAPTER_TWO,DEFAULT,Coaching,4,4,
CHAPTER_TWO,DEFAULT,Coaching,4,5,
CHAPTER_TWO,DEFAULT,Coaching,4,6,
CHAPTER_TWO,DEFAULT,Coaching,5,1,Focuses on empowering their team members to discover solutions for themselves
CHAPTER_TWO,DEFAULT,Coaching,5,2,Coaches senior leaders on creating positive working relationships with their teams and clients
CHAPTER_TWO,DEFAULT,Coaching,5,3,
CHAPTER_TWO,DEFAULT,Coaching,5,4,
CHAPTER_TWO,DEFAULT,Coaching,5,5,
CHAPTER_TWO,DEFAULT,Coaching,5,6,
CHAPTER_THREE,DEFAULT,Facilitation,1,1,Actively seeks many external views to help people gain understanding
CHAPTER_THREE,DEFAULT,Facilitation,1,2,Creates an inclusive environment
CHAPTER_THREE,DEFAULT,Facilitation,1,3,
CHAPTER_THREE,DEFAULT,Facilitation,1,4,
CHAPTER_THREE,DEFAULT,Facilitation,1,5,
CHAPTER_THREE,DEFAULT,Facilitation,1,6,
CHAPTER_THREE,DEFAULT,Facilitation,2,1,Is able to effectively deal with and understand views opposing their own views and is open to criticism and learning
CHAPTER_THREE,DEFAULT,Facilitation,2,2,Is becoming comfortable in mediating escalated conflicts
CHAPTER_THREE,DEFAULT,Facilitation,2,3,Builds consensus among people and teams
CHAPTER_THREE,DEFAULT,Facilitation,2,4,
CHAPTER_THREE,DEFAULT,Facilitation,2,5,
CHAPTER_THREE,DEFAULT,Facilitation,2,6,
CHAPTER_THREE,DEFAULT,Facilitation,3,1,"Understands intrinsic motivations of the project team, as well as their individual capabilities. Is aware of differences between the two"
CHAPTER_THREE,DEFAULT,Facilitation,3,2,"Resolves and/or mediates conflicts in a respectful, appropriate, and impartial manner"
CHAPTER_THREE,DEFAULT,Facilitation,3,3,Takes time to understand how individuals and teams are performing and working together to deliver the project outcomes
CHAPTER_THREE,DEFAULT,Facilitation,3,4,
CHAPTER_THREE,DEFAULT,Facilitation,3,5,
CHAPTER_THREE,DEFAULT,Facilitation,3,6,
CHAPTER_THREE,DEFAULT,Facilitation,4,1,"Understands themselves and the individuals in the project team, what motivates them intrinsically as well as their own individual capabilities"
CHAPTER_THREE,DEFAULT,Facilitation,4,2,Is able to facilitate difficult interactions among stakeholders to achieve outcomes
CHAPTER_THREE,DEFAULT,Facilitation,4,3,Is focused on the big picture
CHAPTER_THREE,DEFAULT,Facilitation,4,4,
CHAPTER_THREE,DEFAULT,Facilitation,4,5,
CHAPTER_THREE,DEFAULT,Facilitation,4,6,
CHAPTER_THREE,DEFAULT,Facilitation,5,1,Uses their understanding of individuals and teams to make the project strategy tangible to individuals and teams
