milestone,cohort,label,level,summary
CHAPTER_ONE,DEFAULT,Servant Leadership,1,Helps unblock individuals by creating a supportive and engaging environment
CHAPTER_ONE,DEFAULT,Servant Leadership,2,Manages expectations across teams and focuses on building long-term relationships
CHAPTER_ONE,DEFAULT,Servant Leadership,3,Manages expectations and provides support for individuals and clients to perform at their highest capabilities
CHAPTER_ONE,DEFAULT,Servant Leadership,4,"Advocates for people's needs, interests, and goals and proactively works to support and enhance growth"
CHAPTER_ONE,DEFAULT,Servant Leadership,5,"Leads, inspires, and serves others, enabling people to achieve their goals and full potential"
CHAPTER_TWO,DEFAULT,Coaching,1,Helps individuals think through the likely impacts of alternative decisions
CHAPTER_TWO,DEFAULT,Coaching,2,Helps individuals accomplish challenging goals
CHAPTER_TWO,DEFAULT,Coaching,3,"Coaches people proactively, and guides people to realizations rather than providing the answer	"
CHAPTER_TWO,DEFAULT,Coaching,4,"Coaches and guides all level of individuals to develop and enhance on-the-job performance, knowledge, or behavior"
CHAPTER_TWO,DEFAULT,Coaching,5,"Empowers others to improve their performance, overcome challenges, and thrive at an optimal level"
CHAPTER_THREE,DEFAULT,Facilitation,1,"Helps individuals resolve difficult issues, promoting an inclusive environment"
CHAPTER_THREE,DEFAULT,Facilitation,2,Helps people collectively move through a process
CHAPTER_THREE,DEFAULT,Facilitation,3,"Mediates escalated situations, empowers people, and resolves conflict	"
CHAPTER_THREE,DEFAULT,Facilitation,4,"Guides and manages individuals both internally and externally to ensure that the their objectives are met effectively, with clear thinking, good participation, and full buy-in from everyone who is involved"
CHAPTER_THREE,DEFAULT,Facilitation,5,"Leads people through processes towards agreed-upon objectives in a manner that encourages participation, ownership, and creativity"
CHAPTER_FOUR,DEFAULT,Motivation,1,Fosters enthusiasm and common purpose across people
CHAPTER_FOUR,DEFAULT,Motivation,2,"Mobilizes individuals to develop goals, execute plans, and deliver client value        "
CHAPTER_FOUR,DEFAULT,Motivation,3,Inspires others to a greater effort by setting an example in his/her/their own behavior of dedication
CHAPTER_FOUR,DEFAULT,Motivation,4,"Conveys confidence in others' capabilities and appeals to others' unique needs, interests, and goals to motivate them to achieve"
