group, axis, value
Daenerys, Mobile Engineering, 0
Daenerys, Web Client, 2
Daenerys, Infrastructure, 3
Daenerys, Servers, 2
Daenerys, Project Management, 2
Daenerys, Communication, 3
Daenerys, Quality, 1
Daenerys, Instigating Change, 3
Daenerys, Career Development, 3
Daenerys, Org Design, 4
Daenerys, Health & Wellbeing, 4
Daenerys, Performance Management, 2
Daenerys, Mentorship, 3
Daenerys, Evangelism, 4
Daenerys, Recruiting, 5
Daenerys, Community, 3
Cersei, Mobile Engineering, 1
Cersei, Web Client, 3
Cersei, Infrastructure, 1
Cersei, Servers, 1
Cersei, Project Management, 2
Cersei, Communication, 2
Cersei, Quality, 3
Cersei, Instigating Change, 5
Cersei, Career Development, 2
Cersei, Org Design, 2
Cersei, Health & Wellbeing, 0
Cersei, Performance Management, 5
Cersei, Mentorship, 4
Cersei, Evangelism, 3
Cersei, Recruiting, 4
Cersei, Community, 2
